casp_ed,target_id,decoy_id,stage1,stage2
9,T0515,FFAS03ss_TS4,False,False
9,T0515,panther_TS1,False,False
9,T0515,Pcomb_TS3,False,False
9,T0515,PconsR_TS3,False,False
9,T0515,LMUserver_TS4,False,False
9,T0515,PRECORS_TS3,False,False
9,T0515,SAM-T02-server_AL3,False,False
9,T0515,pro-sp3-TASSER_TS5,False,False
9,T0515,GSmetaserver_TS4,False,False
9,T0515,FFAS03ss_TS5,False,False
9,T0515,PRECORS_TS5,False,False
9,T0515,BHAGEERATH_TS1,False,False
9,T0515,FFAS03ss_TS2,False,False
9,T0515,SAM-T08-server_TS4,False,False
9,T0515,ConStruct_TS5,False,False
9,T0515,ProQ_TS1,False,False
9,T0515,PLATO_TS5,False,False
9,T0515,RaptorX-MSA_TS1,False,False
9,T0515,Bilab-ENABLE_TS4,False,False
9,T0515,QUARK_TS5,False,False
9,T0515,BAKER-ROSETTASERVER_TS1,False,False
9,T0515,ProQ_TS4,False,False
9,T0515,STAT-PROTEUS_TS4,False,False
9,T0515,PRECORS_TS2,False,False
9,T0515,MUFOLD-Server_TS2,False,False
9,T0515,QUARK_TS4,False,False
9,T0515,CLEF-Server_TS4,False,False
9,T0515,Jiang_THREADER_TS5,False,False
9,T0515,Pcons_TS5,False,False
9,T0515,RBO-PROTEUS_TS1,False,False
9,T0515,MUSTER_TS5,False,False
9,T0515,YASARA_TS5,False,False
9,T0515,3D-JIGSAW_V4-0_TS1,False,False
9,T0515,ProQ2_TS5,False,False
9,T0515,SAM-T06-server_TS4,False,False
9,T0515,Distill_TS5,False,False
9,T0515,SAM-T06-server_TS3,False,False
9,T0515,FFAS03n_TS2,False,False
9,T0515,Atome2_CBS_TS2,False,False
9,T0515,chuo-fams_TS5,False,False
9,T0515,Wolfson-serv_TS5,False,False
9,T0515,3D-JIGSAW_V4-5_TS2,False,False
9,T0515,Ma-OPUS-server_TS3,False,False
9,T0515,FUGUE_KM_AL5,False,False
9,T0515,ProQ_TS2,False,False
9,T0515,chuo-fams_TS3,False,False
9,T0515,ProQ_TS5,False,False
9,T0515,RBO-PROTEUS_TS2,False,False
9,T0515,SAM-T08-server_TS3,False,False
9,T0515,pro-sp3-TASSER_TS2,False,False
9,T0515,MUFOLD-Server_TS3,False,False
9,T0515,RBO-PROTEUS_TS3,False,False
9,T0515,LOOPP_Austin_TS3,False,False
9,T0515,Zhang-Server_TS1,False,False
9,T0515,Seok-server_TS4,False,False
9,T0515,SAM-T08-server_TS2,False,False
9,T0515,Ma-OPUS-server_TS5,False,False
9,T0515,SAM-T08-server_TS1,False,False
9,T0515,FFAS03a_TS4,False,False
9,T0515,GSmetaserver_TS1,False,False
9,T0515,MUFOLD-Server_TS5,False,False
9,T0515,Pcomb_TS1,False,False
9,T0515,SAM-T06-server_TS5,False,False
9,T0515,MUFOLD-Server_TS4,False,False
9,T0515,Seok-server_TS2,False,False
9,T0515,LOOPP_Austin_TS5,False,False
9,T0515,chunk-TASSER_TS4,False,False
9,T0515,m4t_2009_TS1,False,False
9,T0515,Bilab-ENABLE_TS1,False,False
9,T0515,chunk-TASSER_TS3,False,False
9,T0515,MULTICOM-CONSTRUCT_TS3,False,False
9,T0515,BHAGEERATH_TS3,False,False
9,T0515,Zhang-Server_TS4,False,False
9,T0515,FAMSD_TS3,False,False
9,T0515,ZHOU-SPARKS-X_TS4,False,False
9,T0515,PLATO_TS4,False,False
9,T0515,MULTICOM-REFINE_TS2,False,False
9,T0515,gws_TS4,False,False
9,T0515,ProQ2_TS1,False,False
9,T0515,YASARA_TS1,False,False
9,T0515,Pcomb_TS4,False,False
9,T0515,SAM-T02-server_AL5,False,False
9,T0515,RaptorX_TS1,False,False
9,T0515,STAT-PROTEUS_TS1,False,False
9,T0515,RBO-PROTEUS_TS5,False,False
9,T0515,GSmetaserver_TS2,False,False
9,T0515,FFAS03ss_TS1,False,False
9,T0515,ProQ2_TS4,False,False
9,T0515,circle_TS4,False,False
9,T0515,MULTICOM-NOVEL_TS1,False,False
9,T0515,ProfileCRF_TS2,False,False
9,T0515,Jiang_THREADER_TS4,False,False
9,T0515,MULTICOM-CONSTRUCT_TS4,False,False
9,T0515,panther_TS4,False,False
9,T0515,Jiang_Assembly_TS2,False,False
9,T0515,MUFOLD-MD_TS3,False,False
9,T0515,PconsR_TS5,False,False
9,T0515,Jiang_Assembly_TS5,False,False
9,T0515,LOOPP_Austin_TS2,False,False
9,T0515,FUGUE_KM_AL1,False,False
9,T0515,circle_TS5,False,False
9,T0515,Pcons_TS3,False,False
9,T0515,MULTICOM-NOVEL_TS3,False,False
9,T0515,PLATO_TS1,False,False
9,T0515,IntFOLD-TS_TS3,False,False
9,T0515,YASARA_TS4,False,False
9,T0515,Distill_TS3,False,False
9,T0515,prdos2_TS1,False,False
9,T0515,ProfileCRF_TS5,False,False
9,T0515,Zhang-Server_TS5,False,False
9,T0515,PconsD_TS4,False,False
9,T0515,panther_TS2,False,False
9,T0515,FFAS03_TS1,False,False
9,T0515,MULTICOM-CONSTRUCT_TS5,False,False
9,T0515,ProfileCRF_TS1,False,False
9,T0515,ZHOU-SPARKS-X_TS3,False,False
9,T0515,Ma-OPUS-server_TS4,False,False
9,T0515,STAT-PROTEUS_TS5,False,False
9,T0515,Jiang_THREADER_TS2,False,False
9,T0515,BAKER-ROSETTASERVER_TS2,False,False
9,T0515,MUFOLD-MD_TS5,False,False
9,T0515,FUGUE_KM_AL3,False,False
9,T0515,FAMSD_TS5,False,False
9,T0515,MULTICOM-REFINE_TS5,False,False
9,T0515,Distill_TS1,False,False
9,T0515,PconsM_TS1,False,False
9,T0515,ConStruct_TS1,False,False
9,T0515,MULTICOM-NOVEL_TS4,False,False
9,T0515,PconsR_TS2,False,False
9,T0515,Pcomb_TS5,False,False
9,T0515,LMUserver_TS2,False,False
9,T0515,MULTICOM-CLUSTER_TS5,False,False
9,T0515,SAM-T08-server_TS5,False,False
9,T0515,STAT-PROTEUS_TS2,False,False
9,T0515,PLATO_TS2,False,False
9,T0515,PLATO_TS3,False,False
9,T0515,CLEF-Server_TS3,False,False
9,T0515,FFAS03n_TS4,False,False
9,T0515,CLEF-Server_TS1,False,False
9,T0515,MidwayFoldingServer_TS2,False,False
9,T0515,gws_TS1,False,False
9,T0515,FAMSD_TS4,False,False
9,T0515,QUARK_TS2,False,False
9,T0515,gws_TS2,False,False
9,T0515,PconsM_TS5,False,False
9,T0515,Phyre2_TS1,False,False
9,T0515,CLEF-Server_TS2,False,False
9,T0515,pro-sp3-TASSER_TS3,False,False
9,T0515,ProQ_TS3,False,False
9,T0515,3D-JIGSAW_V4-5_TS1,False,False
9,T0515,HHpredA_TS1,False,False
9,T0515,QUARK_TS1,False,False
9,T0515,Atome2_CBS_TS3,False,False
9,T0515,MULTICOM-REFINE_TS1,False,False
9,T0515,ConStruct_TS4,False,False
9,T0515,STAT-PROTEUS_TS3,False,False
9,T0515,circle_TS3,False,False
9,T0515,PRECORS_TS1,False,False
9,T0515,prdos2_TS2,False,False
9,T0515,YASARA_TS3,False,False
9,T0515,3D-JIGSAW_V4-5_TS4,False,False
9,T0515,FAMSD_TS2,False,False
9,T0515,Jiang_THREADER_TS3,False,False
9,T0515,MUFOLD-MD_TS4,False,False
9,T0515,3D-JIGSAW_V4-0_TS3,False,False
9,T0515,SAM-T06-server_TS1,False,False
9,T0515,BAKER-ROSETTASERVER_TS3,False,False
9,T0515,GSmetaserver_TS5,False,False
9,T0515,gws_TS5,False,False
9,T0515,FFAS03n_TS5,False,False
9,T0515,SAM-T02-server_AL2,False,False
9,T0515,chuo-fams_TS4,False,False
9,T0515,circle_TS2,False,False
9,T0515,FFAS03_TS3,False,False
9,T0515,Atome2_CBS_TS1,False,False
9,T0515,PconsM_TS2,False,False
9,T0515,prdos2_TS4,False,False
9,T0515,ConStruct_TS3,False,False
9,T0515,Pcons_TS1,False,False
9,T0515,MUSTER_TS2,False,False
9,T0515,BioSerf_TS1,False,False
9,T0515,MUSTER_TS4,False,False
9,T0515,SAM-T02-server_AL1,False,False
9,T0515,FFAS03_TS2,False,False
9,T0515,MULTICOM-CLUSTER_TS1,False,False
9,T0515,Bilab-ENABLE_TS3,False,False
9,T0515,Pcomb_TS2,False,False
9,T0515,BAKER-ROSETTASERVER_TS4,False,False
9,T0515,MidwayFoldingServer_TS1,False,False
9,T0515,MULTICOM-REFINE_TS3,False,False
9,T0515,3D-JIGSAW_V4-0_TS4,False,False
9,T0515,PconsD_TS1,False,False
9,T0515,Wolfson-serv_TS2,False,False
9,T0515,ZHOU-SPARKS-X_TS5,False,False
9,T0515,LMUserver_TS1,False,False
9,T0515,PconsD_TS5,False,False
9,T0515,ConStruct_TS2,False,False
9,T0515,Distill_TS2,False,False
9,T0515,PconsR_TS4,False,False
9,T0515,MULTICOM-NOVEL_TS2,False,False
9,T0515,PconsR_TS1,False,False
9,T0515,Wolfson-serv_TS1,False,False
9,T0515,3D-JIGSAW_V4-0_TS2,False,False
9,T0515,MULTICOM-CONSTRUCT_TS2,False,False
9,T0515,FAMSD_TS1,False,False
9,T0515,MULTICOM-NOVEL_TS5,False,False
9,T0515,3D-JIGSAW_V4-5_TS5,False,False
9,T0515,LOOPP_Austin_TS4,False,False
9,T0515,LMUserver_TS3,False,False
9,T0515,pro-sp3-TASSER_TS4,False,False
9,T0515,chunk-TASSER_TS1,False,False
9,T0515,ZHOU-SPARKS-X_TS2,False,False
9,T0515,Seok-server_TS5,False,False
9,T0515,IntFOLD-TS_TS1,False,False
9,T0515,PconsM_TS4,False,False
9,T0515,Bilab-ENABLE_TS2,False,False
9,T0515,CLEF-Server_TS5,False,False
9,T0515,ProfileCRF_TS4,False,False
9,T0515,ProQ2_TS2,False,False
9,T0515,Atome2_CBS_TS5,False,False
9,T0515,Pcons_TS2,False,False
9,T0515,FFAS03n_TS3,False,False
9,T0515,FUGUE_KM_AL2,False,False
9,T0515,FFAS03ss_TS3,False,False
9,T0515,MULTICOM-CLUSTER_TS4,False,False
9,T0515,PROTAGORAS_TS1,False,False
9,T0515,FUGUE_KM_AL4,False,False
9,T0515,Ma-OPUS-server_TS1,False,False
9,T0515,circle_TS1,False,False
9,T0515,Wolfson-serv_TS3,False,False
9,T0515,MULTICOM-CLUSTER_TS2,False,False
9,T0515,SmartFold_TS1,False,False
9,T0515,Distill_TS4,False,False
9,T0515,PRECORS_TS4,False,False
9,T0515,IntFOLD-TS_TS4,False,False
9,T0515,LOOPP_Austin_TS1,False,False
9,T0515,PconsM_TS3,False,False
9,T0515,Atome2_CBS_TS4,False,False
9,T0515,Zhang-Server_TS3,False,False
9,T0515,Bilab-ENABLE_TS5,False,False
9,T0515,ProQ2_TS3,False,False
9,T0515,prdos2_TS3,False,False
9,T0515,gws_TS3,False,False
9,T0515,BHAGEERATH_TS5,False,False
9,T0515,BHAGEERATH_TS2,False,False
9,T0515,PconsD_TS3,False,False
9,T0515,chunk-TASSER_TS5,False,False
9,T0515,Seok-server_TS1,False,False
9,T0515,IntFOLD-TS_TS2,False,False
9,T0515,Jiang_Assembly_TS4,False,False
9,T0515,chunk-TASSER_TS2,False,False
9,T0515,YASARA_TS2,False,False
9,T0515,prdos2_TS5,False,False
9,T0515,QUARK_TS3,False,False
9,T0515,LMUserver_TS5,False,False
9,T0515,Yang_kdd_TS1,False,False
9,T0515,Ma-OPUS-server_TS2,False,False
9,T0515,SAM-T02-server_AL4,False,False
9,T0515,GSmetaserver_TS3,False,False
9,T0515,PconsD_TS2,False,False
9,T0515,Seok-server_TS3,False,False
9,T0515,MULTICOM-REFINE_TS4,False,False
9,T0515,MUFOLD-MD_TS2,False,False
9,T0515,Zhang-Server_TS2,False,False
9,T0515,chuo-fams_TS1,False,False
9,T0515,BAKER-ROSETTASERVER_TS5,False,False
9,T0515,Wolfson-serv_TS4,False,False
9,T0515,RBO-PROTEUS_TS4,False,False
9,T0515,MUSTER_TS3,False,False
9,T0515,Jiang_Assembly_TS1,False,False
9,T0515,ZHOU-SPARKS-X_TS1,False,False
9,T0515,BHAGEERATH_TS4,False,False
9,T0515,chuo-fams_TS2,False,False
9,T0515,Jiang_Assembly_TS3,False,False
9,T0515,3D-JIGSAW_V4-0_TS5,False,False
9,T0515,MUSTER_TS1,False,False
9,T0515,IntFOLD-TS_TS5,False,False
9,T0515,3D-JIGSAW_V4-5_TS3,False,False
9,T0515,MUFOLD-Server_TS1,False,False
9,T0515,Pcons_TS4,False,False
9,T0515,ProfileCRF_TS3,False,False
9,T0515,MULTICOM-CONSTRUCT_TS1,False,False
9,T0515,MULTICOM-CLUSTER_TS3,False,False
9,T0515,MUFOLD-MD_TS1,False,False
9,T0515,pro-sp3-TASSER_TS1,False,False
9,T0515,SAM-T06-server_TS2,False,False
9,T0516,FFAS03ss_TS4,False,False
9,T0516,panther_TS1,False,False
9,T0516,Pcomb_TS3,False,False
9,T0516,PconsR_TS3,False,False
